Code,Name,Industry
002079.SZ,苏州固锝,电子
002080.SZ,中材科技,化工
002081.SZ,金螳螂,建筑装饰
002082.SZ,万邦德,建筑材料
002083.SZ,孚日股份,纺织服装
002084.SZ,海鸥住工,轻工制造
002085.SZ,万丰奥威,汽车
002086.SZ,东方海洋,农林牧渔
002087.SZ,新野纺织,纺织服装
002088.SZ,鲁阳节能,建筑材料
002089.SZ,新海宜,通信
002090.SZ,金智科技,电气设备
002091.SZ,江苏国泰,商业贸易
002092.SZ,中泰化学,化工
002093.SZ,国脉科技,通信
002094.SZ,青岛金王,化工
002095.SZ,生意宝,传媒
002096.SZ,南岭民爆,化工
002097.SZ,山河智能,机械设备
002098.SZ,浔兴股份,纺织服装
002099.SZ,海翔药业,医药生物
002100.SZ,天康生物,农林牧渔
002101.SZ,广东鸿图,汽车
002102.SZ,冠福股份,医药生物
002103.SZ,广博股份,传媒
002104.SZ,恒宝股份,通信
002105.SZ,信隆健康,汽车
002106.SZ,莱宝高科,电子
002107.SZ,沃华医药,医药生物
002108.SZ,沧州明珠,化工
002109.SZ,兴化股份,化工
002110.SZ,三钢闽光,钢铁
002111.SZ,威海广泰,机械设备
002112.SZ,三变科技,电气设备
002113.SZ,天润数娱,传媒
002114.SZ,罗平锌电,有色金属
002115.SZ,三维通信,通信
002116.SZ,中国海诚,建筑装饰
002117.SZ,东港股份,轻工制造
002118.SZ,紫鑫药业,医药生物
002119.SZ,康强电子,电子
002120.SZ,韵达股份,交通运输
002121.SZ,科陆电子,电气设备
002122.SZ,*ST天马,机械设备
002123.SZ,梦网集团,传媒
002124.SZ,天邦股份,农林牧渔
002125.SZ,湘潭电化,化工
002126.SZ,银轮股份,汽车
002127.SZ,南极电商,商业贸易
002128.SZ,露天煤业,采掘
002129.SZ,中环股份,电气设备
002130.SZ,沃尔核材,有色金属
002131.SZ,利欧股份,传媒
002132.SZ,恒星科技,机械设备
002133.SZ,广宇集团,房地产
002134.SZ,天津普林,电子
002135.SZ,东南网架,建筑装饰
002136.SZ,安纳达,化工
002137.SZ,麦达数字,传媒
002138.SZ,顺络电子,电子
002139.SZ,拓邦股份,电子
002140.SZ,东华科技,建筑装饰
002141.SZ,贤丰控股,电子
002142.SZ,宁波银行,银行
002143.SZ,印纪传媒,传媒
002144.SZ,宏达高科,纺织服装
002145.SZ,中核钛白,化工
002146.SZ,荣盛发展,房地产
002147.SZ,新光圆成,房地产
002148.SZ,北纬科技,传媒
002149.SZ,西部材料,有色金属
002150.SZ,通润装备,机械设备
002151.SZ,北斗星通,国防军工
002152.SZ,广电运通,计算机
002153.SZ,石基信息,计算机
002154.SZ,报喜鸟,纺织服装
002155.SZ,湖南黄金,有色金属
002156.SZ,通富微电,电子
002157.SZ,正邦科技,农林牧渔
002158.SZ,汉钟精机,机械设备
002159.SZ,三特索道,休闲服务
002160.SZ,常铝股份,有色金属
002161.SZ,远望谷,电子
002162.SZ,悦心健康,建筑材料
002163.SZ,中航三鑫,建筑材料
002164.SZ,宁波东力,机械设备
002165.SZ,红宝丽,化工
002166.SZ,莱茵生物,医药生物
002167.SZ,东方锆业,有色金属
002168.SZ,深圳惠程,电气设备
002169.SZ,智光电气,电气设备
002170.SZ,芭田股份,化工
002171.SZ,楚江新材,有色金属
002172.SZ,澳洋科技,化工
002173.SZ,创新医疗,医药生物
002174.SZ,游族网络,传媒
002175.SZ,东方网络,传媒
002176.SZ,江特电机,电气设备
002177.SZ,御银股份,计算机
002178.SZ,延华智能,建筑装饰
002179.SZ,中航光电,电子
002180.SZ,纳思达,电子
002181.SZ,粤传媒,传媒
002182.SZ,云海金属,有色金属
002183.SZ,怡亚通,交通运输
002184.SZ,海得控制,电气设备
002185.SZ,华天科技,电子
002186.SZ,全聚德,休闲服务
002187.SZ,广百股份,商业贸易
002188.SZ,*ST巴士,传媒
002189.SZ,利达光电,电子
002190.SZ,成飞集成,国防军工
002191.SZ,劲嘉股份,轻工制造
002192.SZ,融捷股份,机械设备
002193.SZ,如意集团,纺织服装
002194.SZ,*ST凡谷,通信
002195.SZ,二三四五,计算机
002196.SZ,方正电机,电气设备
002197.SZ,证通电子,计算机
002198.SZ,嘉应制药,医药生物
002199.SZ,东晶电子,电子
002200.SZ,云投生态,建筑装饰
